Mean_STATE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brandenburg,0.95,0.95,0.32,0,0.155,0.4,0.2066666667,0.9,0.4,0.46
Berlin,1.3,1.3,0.62,1.2,0.775,0.86,0.775,1.065,1.45,1.2
Baden-Württemberg,0.6391666667,0.6391666667,0.5761538462,0.5807692308,0.516,0.4326666667,0.4683333333,0.55,0.4083333333,0.336
Bavaria,0.4728571429,0.4728571429,0.5016666667,0.36,0.3533333333,0.3016666667,0.3516666667,0.4733333333,0.388,0.3646666667
Hesse,0.8325,0.8325,0.545625,0.65,0.528,0.52,0.49,0.66,2.915,3.4
Hamburg,3.2,3.2,2.3,3.35,2.15,0.4646666667,0.6293333333,0.53,0.4,0.33
Mecklenburg-West Pomerania,0.8,0.8,0.3666666667,0.4266666667,0.3366666667,3,2.445,4.8,0.6290909091,0.609
Lower Saxony,0.7375,0.7375,0.6222222222,0.8,0.603,0.3466666667,0.35,0.5066666667,1.343076923,1.318461538
North Rhine-Westphalia,1.296206897,1.296206897,0.9703703704,0.8857142857,0.7923076923,0.617,0.593,0.659,0.5,0.42
Rhineland-Palatinate,1.692857143,1.692857143,0.8116666667,0.7657142857,0.5571428571,0.9852380952,1.132777778,1.229411765,0.4366666667,0.3933333333
Saarland,0.5425,0.5425,0.5025,0.45,0.495,0.4957142857,0.54,0.5428571429,0.5033333333,0.3466666667
Schleswig-Holstein,0.6566666667,0.6566666667,0.3333333333,0.5666666667,0.4566666667,0.4,0.435,0.47,0.806,0.719
Saxony,1.503,1.503,2.12,1.93,0.677,0.51,0.4233333333,0.5833333333,0.53,0.37
Saxony-Anhalt,0.7066666667,0.7066666667,0.6033333333,0.7,0.49,1.154,1.072,1.177,0.3833333333,0.3133333333
Thuringia,0.77,0.77,0.3233333333,0.255,0.2225,0.9,1.013333333,1.036666667,0.2683333333,0.23
Bremen,1.3,1.3,NULL,NULL,0.54,0.3133333333,0.335,0.3783333333,0.4733333333,0
