Mean_STATE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brandenburg,0.3542857143,0.3428571429,0.1057142857,0.2466666667,0.3071428571,0.1066666667,0.09,0.1657142857,0.1685714286,0.1471428571
Berlin,1.55,1.55,1.375,1.425,1.2175,1.1325,1.163333333,1.096666667,1,0.86
Baden-Württemberg,1.30875,1.155416667,1.23,0.8616666667,0.9577272727,0.932173913,0.844375,0.83,0.9663636364,0.7818181818
Bavaria,1.275,0.875,1.168666667,1.075333333,0.9658823529,0.989375,1.111818182,1.11,0.63375,0.57625
Hesse,1.730833333,1.47,1.344545455,1.3675,1.2,1.178181818,0.6366666667,0.5533333333,1.317333333,1.33
Hamburg,1.18,1.0075,0.90625,1.086666667,1.12,1.046666667,0.705,0.763125,0.7881818182,0.7263636364
Lower Saxony,1.042,1.007333333,0.863125,0.8833333333,0.5666666667,0.6733333333,1.423030303,1.331,0.9966666667,0.63
North Rhine-Westphalia,1.984333333,1.804242424,1.761212121,0.846875,0.825,0.776875,0.9363636364,0.9027272727,0.818,0.744
Rhineland-Palatinate,1.35875,1.538888889,1.558888889,1.601818182,1.416363636,1.364545455,1.213333333,1.453333333,0.818,0.698
Saarland,1.283333333,1.386666667,1.216666667,1.133636364,1.015454545,1.015454545,1.01,0.988,0.642,0.5816666667
Schleswig-Holstein,1.38,1.081666667,1.111428571,1.446666667,1.33,1.406666667,0.982,0.94,1.4,1.025
Saxony,1.466666667,1.3,1.325,1.055,0.8683333333,0.8916666667,0.6966666667,0.7166666667,0.875,0.775
Saxony-Anhalt,1.001666667,0.8566666667,0.8566666667,1.231666667,1.061666667,0.994,1.25,1.5,0.6125,0.8
Thuringia,1.466666667,1.253333333,1.19,0.87,0.71,0.725,1.25,1.25,0.81,0.82
Mecklenburg-West Pomerania,0.8633333333,0.7533333333,0.6933333333,1.155,0.96,1.1,0.94,1.1,0,0
