Mean_STATE,January,February,March,April,May,June,July,August,September,October,November,December
Brandenburg,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,0,0,0,0,0,0,0,0,0,0,0,0
Baden-Württemberg,0,0,0,0,0,0,0,0,0,0,0,0
Bavaria,0,0,0,0,0,0,0,0,0,0,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hesse,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Mecklenburg-West Pomerania,0,0,0,0,0,0,0,0,0,0,0,0
Lower Saxony,0,0,0,0,0,0,0,0,0,0,0,0
North Rhine-Westphalia,0,0,0,0,0,0,0,0,0,0,0,0
Rhineland-Palatinate,0,0,0,0,0,0,0,0,0,0,0,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Saxony,0,0,0,0,0,0,0,0,0,0,0,0
Saxony-Anhalt,0,0,0,0,0,0,0,0,0,0,0,0
Thuringia,0,0,0.05,0,0,0,0,0,0,0,0,0
