Mean_STATE,January,February,March,April,May,June,July,August,September,October,November,December
Brandenburg,0,0,0.1578947368,0,1.578947368,8.105263158,5.473684211,5.947368421,0,0,0,0
Berlin,0,0,0.25,0,0.625,5.875,3.875,4.375,0,0,0,0
Baden-Württemberg,0,0,1.482758621,0.3793103448,1.655172414,6.275862069,11.51724138,11.10344828,0,0,0,0
Bavaria,0,0,1.027027027,0.1891891892,0.3243243243,3.189189189,7.135135135,5.378378378,0.02702702703,0,0,0
Bremen,0,0,0,0,0.1666666667,1.5,3,3.833333333,0,0,0,0
Hesse,0,0,1.142857143,0.07142857143,0.8571428571,6,7.785714286,10.14285714,0.3928571429,0,0,0
Hamburg,0,0,0,0,0,1.333333333,3.333333333,2.666666667,0,0,0,0
Mecklenburg-West Pomerania,0,0,0.1,0,0.5,1.9,3.2,3.9,0,0,0,0
Lower Saxony,0,0,0.2,0,0.3,3.25,4.25,5.05,0.2,0,0,0
North Rhine-Westphalia,0,0,0.1071428571,0,0.75,5.214285714,4.285714286,8,0.3928571429,0,0,0
Rhineland-Palatinate,0,0,1,0,0.05882352941,4.529411765,7.529411765,10.94117647,0,0,0,0
Saarland,0,0,1.222222222,0,0,2,2.777777778,4.333333333,0,0,0,0
Schleswig-Holstein,0,0,0,0,0.09090909091,1.090909091,3.181818182,2.545454545,0,0,0,0
Saxony,0,0,0.5,0.05,0.55,5,3.7,4.35,0,0,0,0
Saxony-Anhalt,0,0,0.0625,0,0.375,4.125,4.1875,4.75,0,0,0,0
Thuringia,0,0,0.2142857143,0,0.2142857143,4.857142857,3.857142857,5.928571429,0,0,0,0
